carrinho_id,cliente_id,data_criacao,valor_total,status
1,1,2023-01-03,3092.29,abandonado
2,1,2023-05-30,3437.74,abandonado
3,1,2024-03-01,842.58,abandonado
4,1,2022-11-01,819.18,finalizado
5,1,2024-08-29,683.73,finalizado
6,1,2024-01-02,805.68,abandonado
7,1,2024-12-02,218.87,abandonado
8,2,2023-11-16,2877.47,finalizado
9,2,2022-06-29,2228.99,finalizado
10,2,2023-06-23,2283.52,finalizado
11,2,2022-09-06,1866.6,finalizado
12,2,2022-07-31,2331.01,abandonado
13,2,2024-03-21,345.78,finalizado
14,3,2022-06-24,1283.09,abandonado
15,3,2024-05-19,2686.37,finalizado
16,3,2023-04-15,1936.77,finalizado
17,3,2024-06-25,2232.79,abandonado
18,4,2022-08-26,626.99,finalizado
19,4,2022-09-25,2805.55,abandonado
20,4,2024-12-09,3156.55,finalizado
21,4,2023-12-24,2822.95,abandonado
22,4,2024-09-22,3375.19,finalizado
23,4,2024-09-19,847.19,finalizado
24,5,2023-11-04,3328.72,finalizado
25,5,2023-01-08,2942.5,abandonado
26,5,2024-07-29,2913.89,abandonado
27,5,2023-09-14,2216.73,abandonado
28,5,2023-09-17,1354.92,abandonado
29,5,2024-05-15,2236.34,abandonado
30,5,2022-10-30,1346.54,finalizado
31,7,2022-03-09,3219.93,abandonado
32,7,2023-06-09,739.64,abandonado
33,7,2024-06-16,2207.92,abandonado
34,7,2023-10-17,1336.57,abandonado
35,7,2024-02-23,1802.91,finalizado
36,7,2024-06-18,3392.81,finalizado
37,9,2024-10-22,275.96,finalizado
38,9,2023-01-03,2447.22,finalizado
39,9,2023-04-25,1846.56,finalizado
40,9,2024-07-28,675.88,finalizado
41,9,2023-08-13,1193.21,finalizado
42,9,2022-11-13,607.67,abandonado
43,10,2022-09-20,2390.17,finalizado
44,10,2024-03-09,806.34,finalizado
45,10,2022-02-16,285.38,finalizado
46,10,2024-04-10,537.48,finalizado
47,10,2022-10-10,2437.75,finalizado
48,10,2023-11-17,3185.38,finalizado
49,10,2022-01-07,2560.06,finalizado
50,11,2022-02-12,2763.58,abandonado
51,11,2023-07-02,497.31,abandonado
52,11,2024-08-03,3279.01,abandonado
53,12,2023-04-26,2710.44,finalizado
54,13,2024-08-02,992.51,finalizado
55,13,2023-08-01,975.73,abandonado
56,13,2024-04-30,1910.88,finalizado
57,13,2024-11-19,1282.47,abandonado
58,13,2022-12-16,138.57,finalizado
59,13,2022-09-08,2005.39,finalizado
60,13,2022-07-08,973.82,finalizado
61,14,2022-03-20,1570.09,abandonado
62,14,2022-11-01,637.13,abandonado
63,14,2023-07-08,1107.61,finalizado
64,15,2023-08-30,1151.44,finalizado
65,15,2023-09-09,1769.77,finalizado
66,15,2023-08-04,2055.09,finalizado
67,15,2024-05-02,3172.73,finalizado
68,16,2023-05-19,697.66,finalizado
69,16,2024-11-08,2012.72,finalizado
70,17,2023-01-19,325.49,abandonado
71,17,2024-07-31,2944.84,finalizado
72,18,2022-10-28,881.26,abandonado
73,18,2024-11-10,2978.9,finalizado
74,19,2024-08-11,1358.86,finalizado
75,19,2022-08-10,736.38,finalizado
76,19,2023-11-20,2457.37,abandonado
77,19,2022-11-15,1268.48,abandonado
78,20,2023-03-17,449.6,finalizado
79,20,2024-08-07,1533.77,finalizado
80,20,2022-01-06,626.35,finalizado
